title,link,image,position,volume
"Columnist, Student, Activist, and Athlete - Joseph Tasby",/features/tasby.html,gem-1968-tasby,top,2
Edna Gertrude Chrisman,/features/chrisman.html,gem_1903_gertrudechrisman_02,,2
Black Greek Student Life at U of I,/features/blackgreekstudentlife.html,gem1994_p199,,2
"Ray 'Thunder Ray' McDonald",/features/mcdonald.html,/assets/img/ray_mcdonald_playing_piano.jpg,top,1
A History of the Black Student Union,/features/bsu.html,inside-bsu_1971-03-17,,1
A Course for Black History,/features/black_history_course.html,ug13_251_004,,1
The First Black Graduate - Jennie Eva Hughes,/features/hughes.html,mg5758_001,,1
